,pub_year,pub_month,journal_name,paper_title,author
10,2020,02,Nature reviews. Immunology,Modulation of innate and adaptive immunity by cytomegaloviruses,"Australia.Victoria.Richard.Berry,Australia.Victoria.Gabrielle M.Watson,Croatia.Rijeka.Stipan.Jonjic,Australia.Victoria.Mariapia A.Degli-Esposti,Australia.Victoria.Jamie.Rossjohn"
11,2020,02,Nature reviews. Microbiology,"Neisseria meningitidis: using genomics to understand diversity, evolution and pathogenesis","Norway.Oslo.Dominique A.Caugant,Norway.Oslo.Ola B.Brynildsrud"
12,2020,02,Nature,GDF15 mediates the effects of metformin on body weight and energy balance,"UK.Cambridge.Anthony P.Coll,USA.CA.Michael.Chen,USA.CA.Pranali.Taskar,UK.Cambridge.Debra.Rimmington,UK.Cambridge.Satish.Patel,UK.Cambridge.John A.Tadross,UK.Cambridge.Irene.Cimino,UK.Cambridge.Ming.Yang,UK.Glasgow.Paul.Welsh,UK.Cambridge.Samuel.Virtue,UK.Cambridge.Deborah A.Goldspink,UK.Cambridge.Emily L.Miedzybrodzka,USA.MN.Adam R.Konopka,USA.MN.Raul Ruiz.Esponda,UK.Dundee.Jeffrey T-J.Huang,UK.Cambridge.Y C Loraine.Tung,UK.Cambridge.Sergio.Rodriguez-Cuenca,UK.Cambridge.Rute A.Tomaz,UK.Cambridge.Heather P.Harding,UK.Cambridge.Audrey.Melvin,UK.Cambridge.Giles S H.Yeo,UK.Oxford.David.Preiss,UK.Cambridge.Antonio.Vidal-Puig,UK.Cambridge.Ludovic.Vallier,USA.MN.K Sreekumaran.Nair,UK.Cambridge.Nicholas J.Wareham,UK.Cambridge.David.Ron,UK.Cambridge.Fiona M.Gribble,UK.Cambridge.Frank.Reimann,UK.Glasgow.Naveed.Sattar,UK.Cambridge.David B.Savage,USA.CA.Bernard B.Allan,UK.Cambridge.Stephen.O'Rahilly"
13,2020,02,Nature,Insights into the assembly and activation of the microtubule nucleator γ-TuRC,"Germany.Heidelberg.Peng.Liu,Germany.Heidelberg.Erik.Zupa,Germany.Heidelberg.Annett.Neuner,Germany.Heidelberg.Anna.Böhler,Germany.Berlin.Justus.Loerke,Germany.Heidelberg.Dirk.Flemming,Germany.Heidelberg.Thomas.Ruppert,Germany.Bochum.Till.Rudack,Germany.Bonn.Christoph.Peter,Germany.Berlin.Christian.Spahn,Germany.Bonn.Oliver J.Gruss,Germany.Heidelberg.Stefan.Pfeffer,Germany.Heidelberg.Elmar.Schiebel"
14,2020,01,Nature chemistry,Asymmetric redox-neutral radical cyclization catalysed by flavin-dependent 'ene'-reductases,"USA.NJ.Michael J.Black,USA.NJ.Kyle F.Biegasiewicz,USA.NJ.Andrew J.Meichan,USA.NJ.Daniel G.Oblinsky,USA.NJ.Bryan.Kudisch,USA.NJ.Gregory D.Scholes,USA.NJ.Todd K.Hyster"
15,2020,01,Nature ecology & evolution,Phenological shifts alter the seasonal structure of pollinator assemblages in Europe,"France.Paris.F.Duchenne,France.Paris.E.Thébault,Belgium.Mons.D.Michez,France.Paris.M.Elias,UK.Axminster.M.Drake,Sweden.Lund.M.Persson,Belgium.Brussels.J S.Rousseau-Piot,Belgium.Brussels.M.Pollet,Belgium.Mechelen.P.Vanormelingen,France.Paris.C.Fontaine"
16,2020,01,Nature ecology & evolution,Global no net loss of natural ecosystems,"Australia.Queensland.Martine.Maron,Australia.Queensland.Jeremy S.Simmonds,Australia.Queensland.James E M.Watson,Australia.Queensland.Laura J.Sonter,UK.Cambridge.Leon.Bennun,UK.Oxford.Victoria F.Griffiths,France.Mèze.Fabien.Quétier,South Africa.Bo-Kaap.Amrei.von Hase,Switzerland.Gland.Stephen.Edwards,USA.NY.Hugo.Rainey,UK.Canterbury.Joseph W.Bull,Kenya.Nairobi.Conrad E.Savy,USA.NY.Ray.Victurine,USA.CO.Joseph.Kiesecker,Switzerland.Gland.Philippe.Puydarrieux,USA.NY.Todd.Stevens,France.Paris.Naïg.Cozannet,UK.Bangor.Julia P G.Jones"
17,2020,01,Nature ecology & evolution,Nonlinear population dynamics are ubiquitous in animals,"USA.MT.T J.Clark,USA.MT.Angela D.Luis"
18,2020,01,Nature microbiology,The structure of the periplasmic FlaG-FlaF complex and its essential role for archaellar swimming motility,"USA.TX.Chi-Lin.Tsai,Germany.Freiburg.Patrick.Tripp,Germany.Freiburg.Shamphavi.Sivabalasarma,USA.IL.Changyi.Zhang,Germany.Freiburg.Marta.Rodriguez-Franco,USA.IL.Rebecca L.Wipfler,Germany.Freiburg.Paushali.Chaudhury,USA.NY.Ankan.Banerjee,UK.London.Morgan.Beeby,USA.IL.Rachel J.Whitaker,USA.TX.John A.Tainer,Germany.Freiburg.Sonja-Verena.Albers"
19,2020,Jan,Nature physics,A coherent nanomechanical oscillator driven by single-electron tunnelling,"United Kingdom.Oxford OX1 3PH.Yutian.Wen,United Kingdom.Oxford OX1 3PH.N.Ares,United Kingdom.Oxford OX1 3PH.F J.Schupp,United Kingdom.Oxford OX1 3PH.T.Pei,United Kingdom.Oxford OX1 3PH.G A D.Briggs,United Kingdom.LA1 4YB.E A.Laird"
20,2020,01,Nature plants,Both selection and plasticity drive niche differentiation in experimental grasslands,"France.Lusignan.Julien.Meilhac,Canada.Québec.Lucas.Deschamps,Canada.Québec.Vincent.Maire,France.Saint Sauvant.Sandrine.Flajoulot,France.Lusignan.Isabelle.Litrico"
21,2020,01,Nature reviews. Cancer,Altered cellular metabolism in gliomas - an emerging landscape of actionable co-dependency targets,"USA.CA.Junfeng.Bi,USA.CA.Sudhir.Chowdhry,USA.CA.Sihan.Wu,USA.CA.Wenjing.Zhang,Japan.Tokyo.Kenta.Masui,USA.CA.Paul S.Mischel"
22,2020,01,Nature reviews. Gastroenterology & hepatology,Management of functional constipation in children and adults,"Netherlands.Amsterdam.Mana H.Vriesman,Netherlands.Amsterdam.Ilan J N.Koppen,USA.MN.Michael.Camilleri,USA.OH.Carlo.Di Lorenzo,Netherlands.Amsterdam.Marc A.Benninga"
23,2020,01,Nature reviews. Genetics,Building machines with DNA molecules,"Germany.Garching.Hamid.Ramezani,Germany.Garching.Hendrik.Dietz"
24,2020,01,Nature reviews. Nephrology,"Epidemiology, pathogenesis, treatment and outcomes of infection-associated glomerulonephritis","USA.OH.Anjali A.Satoskar,USA.OH.Samir V.Parikh,USA.OH.Tibor.Nadasdy"
25,2020,01,Nature,H2A.Z facilitates licensing and activation of early replication origins,"China.Beijing.Haizhen.Long,China.Beijing.Liwei.Zhang,China.Beijing.Mengjie.Lv,China.Beijing.Zengqi.Wen,China.Beijing.Wenhao.Zhang,China.Beijing.Xiulan.Chen,China.Tianjin.Peitao.Zhang,China.Beijing.Tongqing.Li,China.Beijing.Luyuan.Chang,China.Beijing.Caiwei.Jin,China.Beijing.Guozhao.Wu,China.Beijing.Xi.Wang,China.Beijing.Fuquan.Yang,China.Beijing.Jianfeng.Pei,China.Beijing.Ping.Chen,France.Paris.Raphael.Margueron,China.Beijing.Haiteng.Deng,China.Beijing.Mingzhao.Zhu,China.Beijing.Guohong.Li"
26,2020,01,Nature,Mapping disparities in education across low- and middle-income countries,None.None.None.None
27,2020,01,Nature,A sensory appendage protein protects malaria vectors from pyrethroids,"UK.Liverpool.Victoria A.Ingham,UK.Liverpool.Amalia.Anthousi,Greece.Heraklion.Vassilis.Douris,UK.Oxford.Nicholas J.Harding,UK.Liverpool.Gareth.Lycett,UK.Liverpool.Marion.Morris,Greece.Heraklion.John.Vontas,UK.Liverpool.Hilary.Ranson"
28,2020,01,Nature,Cortical pattern generation during dexterous movement is input-driven,"USA.VA.Britton A.Sauerbrei,USA.VA.Jian-Zhong.Guo,USA.VA.Jeremy D.Cohen,USA.VA.Matteo.Mischiati,USA.VA.Wendy.Guo,USA.VA.Mayank.Kabra,USA.NY.Nakul.Verma,USA.VA.Brett.Mensh,USA.VA.Kristin.Branson,USA.VA.Adam W.Hantman"
29,2020,01,Nature,A GPR174-CCL21 module imparts sexual dimorphism to humoral immunity,"China.Beijing.Ruozhu.Zhao,China.Beijing.Xin.Chen,China.Beijing.Weiwei.Ma,China.Beijing.Jinyu.Zhang,China.Beijing.Jie.Guo,China.Beijing.Xiu.Zhong,China.Beijing.Jiacheng.Yao,China.Beijing.Jiahui.Sun,China.Beijing.Julian.Rubinfien,China.Beijing.Xuyu.Zhou,China.Beijing.Jianbin.Wang,China.Beijing.Hai.Qi"
30,2020,01,Nature,Resonant microwave-mediated interactions between distant electron spins,"USA.NJ.F.Borjans,USA.NJ.X G.Croot,USA.NJ.X.Mi,USA.NJ.M J.Gullans,USA.NJ.J R.Petta"
31,2020,01,Nature,Microbial bile acid metabolites modulate gut RORγ<sup>+</sup> regulatory T cell homeostasis,"USA.MA.Xinyang.Song,USA.MA.Ximei.Sun,USA.MA.Sungwhan F.Oh,USA.MA.Meng.Wu,USA.MA.Yanbo.Zhang,USA.MA.Wen.Zheng,USA.MA.Naama.Geva-Zatorsky,UK.Slough.Ray.Jupp,USA.MA.Diane.Mathis,USA.MA.Christophe.Benoist,USA.MA.Dennis L.Kasper"
32,2020,01,Nature,The water lily genome and the early evolution of flowering plants,"China.Fuzhou.Liangsheng.Zhang,China.Fuzhou.Fei.Chen,China.Fuzhou.Xingtan.Zhang,Belgium.Ghent.Zhen.Li,China.Shanghai.Yiyong.Zhao,Belgium.Ghent.Rolf.Lohaus,China.Fuzhou.Xiaojun.Chang,China.Fuzhou.Wei.Dong,Australia.New South Wales.Simon Y W.Ho,China.Fuzhou.Xing.Liu,China.Fuzhou.Aixia.Song,China.Hangzhou.Junhao.Chen,China.Hangzhou.Wenlei.Guo,China.Hangzhou.Zhengjia.Wang,China.Fuzhou.Yingyu.Zhuang,China.Fuzhou.Haifeng.Wang,China.Fuzhou.Xuequn.Chen,China.Fuzhou.Juan.Hu,China.Fuzhou.Yanhui.Liu,China.Fuzhou.Yuan.Qin,China.Fuzhou.Kai.Wang,China.Shenzhen.Shanshan.Dong,China.Shenzhen.Yang.Liu,China.Shenzhen.Shouzhou.Zhang,China.Xuchang.Xianxian.Yu,China.Beijing.Qian.Wu,China.Beijing.Liangsheng.Wang,China.Beijing.Xueqing.Yan,China.Beijing.Yuannian.Jiao,China.Beijing.Hongzhi.Kong,China.Guangzhou.Xiaofan.Zhou,China.Hangzhou.Cuiwei.Yu,China.Hangzhou.Yuchu.Chen,China.Kunming.Fan.Li,China.Kunming.Jihua.Wang,China.Chengdu.Wei.Chen,USA.TN.Xinlu.Chen,USA.TN.Qidong.Jia,USA.TN.Chi.Zhang,China.Nanjing.Yifan.Jiang,China.Nanjing.Wanbo.Zhang,China.Hangzhou.Guanhua.Liu,China.Hangzhou.Jianyu.Fu,China.Nanjing.Feng.Chen,USA.PA.Hong.Ma,Belgium.Ghent.Yves.Van de Peer,China.Fuzhou.Haibao.Tang"
33,2020,01,Nature,"Last appearance of Homo erectus at Ngandong, Java, 117,000-108,000 years ago","Indonesia.Bandung.Yan.Rizal,Australia.New South Wales.Kira E.Westaway,Indonesia.Bandung.Yahdi.Zaim,Australia.New South Wales.Gerrit D.van den Bergh,USA.IA.E Arthur.Bettis,Australia.New South Wales.Michael J.Morwood,USA.TX.O Frank.Huffman,Australia.Queensland.Rainer.Grün,Australia.New South Wales.Renaud.Joannes-Boyau,UK.Oxford.Richard M.Bailey,Indonesia.Bandung.None.None,Australia.Queensland.Michael C.Westaway,Indonesia.Bandung.Iwan.Kurniawan,Australia.New South Wales.Mark W.Moore,Denmark.Copenhagen.Michael.Storey,Indonesia.Bandung.Fachroel.Aziz,Indonesia.Bandung.None.None,Australia.Queensland.Jian-Xin.Zhao,Indonesia.Bandung.None.None,USA.MN.Maija E.Sipola,USA.OH.Roy.Larick,Canada.Alberta.John-Paul.Zonneveld,USA.NJ.Robert.Scott,USA.IN.Shelby.Putt,USA.IA.Russell L.Ciochon"
34,2020,01,Nature,Metabolic heterogeneity confers differences in melanoma metastatic potential,"USA.TX.Alpaslan.Tasdogan,USA.TX.Brandon.Faubert,USA.TX.Vijayashree.Ramesh,USA.TX.Jessalyn M.Ubellacker,USA.TX.Bo.Shen,USA.TX.Ashley.Solmonson,USA.TX.Malea M.Murphy,USA.TX.Zhimin.Gu,USA.TX.Wen.Gu,USA.TX.Misty.Martin,USA.TX.Stacy Y.Kasitinon,USA.TX.Travis.Vandergriff,USA.TX.Thomas P.Mathews,USA.TX.Zhiyu.Zhao,Germany.Heidelberg.Dirk.Schadendorf,USA.TX.Ralph J.DeBerardinis,USA.TX.Sean J.Morrison"
35,2020,01,Nature,IL-17a promotes sociability in mouse models of neurodevelopmental disorders,"USA.MA.Michael Douglas.Reed,USA.MA.Yeong Shin.Yim,USA.MA.Ralf D.Wimmer,USA.MA.Hyunju.Kim,USA.MA.Changhyeon.Ryu,USA.MA.Gwyneth Margaret.Welch,USA.MA.Matias.Andina,USA.MA.Hunter Oren.King,Germany.Mainz.Ari.Waisman,USA.MA.Michael M.Halassa,USA.MA.Jun R.Huh,USA.MA.Gloria B.Choi"
36,2020,01,Nature,Structural basis of DNA targeting by a transposon-encoded CRISPR-Cas system,"USA.NY.Tyler S.Halpin-Healy,USA.NY.Sanne E.Klompe,USA.NY.Samuel H.Sternberg,USA.NY.Israel S.Fernández"
37,2020,01,Nature,Long-term cyclic persistence in an experimental predator-prey system,"Germany.Oldenburg.Bernd.Blasius,Germany.Potsdam.Lars.Rudolf,Germany.Potsdam.Guntram.Weithoff,Germany.Potsdam.Ursula.Gaedke,Canada.Québec.Gregor F.Fussmann"
38,2020,01,Nature,Internal state dynamics shape brainwide activity and foraging behaviour,"USA.MA.João C.Marques,USA.MA.Meng.Li,USA.MA.Diane.Schaak,USA.MA.Drew N.Robson,USA.MA.Jennifer M.Li"
39,2020,01,Nature,Localization and delocalization of light in photonic moiré lattices,"China.Shanghai.Peng.Wang,China.Shanghai.Yuanlin.Zheng,China.Shanghai.Xianfeng.Chen,China.Shanxi.Changming.Huang,Spain.Castelldefels.Yaroslav V.Kartashov,Spain.Castelldefels.Lluis.Torner,Portugal.Lisbon.Vladimir V.Konotop,China.Shanghai.Fangwei.Ye"
40,2020,01,Nature,Frequent mutations that converge on the NFKBIZ pathway in ulcerative colitis,"Japan.Kyoto.Nobuyuki.Kakiuchi,Japan.Kyoto.Kenichi.Yoshida,Japan.Nishinomiya.Motoi.Uchino,Japan.Nishinomiya.Takako.Kihara,Japan.Kyoto.Kotaro.Akaki,Japan.Kyoto.Yoshikage.Inoue,Japan.Kyoto.Kenji.Kawada,Japan.Tokyo.Satoshi.Nagayama,Japan.Kyoto.Akira.Yokoyama,Japan.Kyoto.Shuji.Yamamoto,Japan.Kyoto.Minoru.Matsuura,Japan.Kyoto.Takahiro.Horimatsu,Japan.Kyoto.Tomonori.Hirano,Japan.Kyoto.Norihiro.Goto,Japan.Kyoto.Yasuhide.Takeuchi,Japan.Kyoto.Yotaro.Ochi,Japan.Kyoto.Yusuke.Shiozawa,Japan.Kyoto.Yasunori.Kogure,Japan.Kyoto.Yosaku.Watatani,Japan.Kyoto.Yoichi.Fujii,Japan.Kyoto.Soo Ki.Kim,Japan.Kyoto.Ayana.Kon,Japan.Kyoto.Keisuke.Kataoka,Japan.Kyoto.Tetsuichi.Yoshizato,Japan.Kyoto.Masahiro M.Nakagawa,Japan.Kyoto.Akinori.Yoda,Japan.Kyoto.Yasuhito.Nanya,Japan.Kyoto.Hideki.Makishima,Japan.Tokyo.Yuichi.Shiraishi,Japan.Tokyo.Kenichi.Chiba,Japan.Tokyo.Hiroko.Tanaka,Japan.Kyoto.Masashi.Sanada,Japan.Ibaraki.Eiji.Sugihara,Japan.Ibaraki.Taka-Aki.Sato,Japan.Akita.Takashi.Maruyama,Japan.Kyoto.Hiroyuki.Miyoshi,Japan.Kyoto.Makoto Mark.Taketo,Japan.Osaka.Jun.Oishi,Japan.Kyoto.Ryosaku.Inagaki,Japan.Osaka.Yutaka.Ueda,Japan.Kyoto.Shinya.Okamoto,Japan.Kyoto.Hideaki.Okajima,Japan.Kyoto.Yoshiharu.Sakai,Japan.Kyoto.Takaki.Sakurai,Japan.Kyoto.Hironori.Haga,Japan.Nishinomiya.Seiichi.Hirota,Japan.Nishinomiya.Hiroki.Ikeuchi,Japan.Kyoto.Hiroshi.Nakase,Japan.Kyoto.Hiroyuki.Marusawa,Japan.Kyoto.Tsutomu.Chiba,Japan.Kyoto.Osamu.Takeuchi,Japan.Tokyo.Satoru.Miyano,Japan.Kyoto.Hiroshi.Seno,Japan.Kyoto.Seishi.Ogawa"
41,2020,01,Nature,Impaired cell fate through gain-of-function mutations in a chromatin reader,"USA.NY.Liling.Wan,USA.CA.Shasha.Chong,USA.MI.Fan.Xuan,USA.NY.Angela.Liang,USA.TX.Xiaodong.Cui,USA.NY.Leah.Gates,USA.NY.Thomas S.Carroll,China.Beijing.Yuanyuan.Li,USA.NY.Lijuan.Feng,China.Beijing.Guochao.Chen,USA.NY.Shu-Ping.Wang,USA.NY.Michael V.Ortiz,USA.NJ.Sara K.Daley,USA.MI.Xiaolu.Wang,USA.MI.Hongwen.Xuan,USA.NY.Alex.Kentsis,USA.NJ.Tom W.Muir,USA.NY.Robert G.Roeder,China.Beijing.Haitao.Li,USA.TX.Wei.Li,USA.CA.Robert.Tjian,USA.MI.Hong.Wen,USA.NY.C David.Allis"
42,2020,01,Nature,Somatic inflammatory gene mutations in human ulcerative colitis epithelium,"Japan.Tokyo.Kosaku.Nanki,Japan.Tokyo.Masayuki.Fujii,Japan.Tokyo.Mariko.Shimokawa,Japan.Tokyo.Mami.Matano,Japan.Tokyo.Shingo.Nishikori,Japan.Tokyo.Shoichi.Date,Japan.Tokyo.Ai.Takano,Japan.Tokyo.Kohta.Toshimitsu,Japan.Tokyo.Yuki.Ohta,Japan.Tokyo.Sirirat.Takahashi,Japan.Tokyo.Shinya.Sugimoto,Japan.Tokyo.Kazuhiro.Ishimaru,Japan.Tokyo.Kenta.Kawasaki,Japan.Shiga.Yoko.Nagai,Japan.Tokyo.Ryota.Ishii,Japan.Tokyo.Kosuke.Yoshida,Japan.Tokyo.Nobuo.Sasaki,Japan.Tokyo.Toshifumi.Hibi,Japan.Tokyo.Soichiro.Ishihara,Japan.Tokyo.Takanori.Kanai,Japan.Tokyo.Toshiro.Sato"
43,2020,01,Nature,A developmental landscape of 3D-cultured human pre-gastrulation embryos,"China.Kunming.Lifeng.Xiang,China.Kunming.Yu.Yin,China.Kunming.Yun.Zheng,China.Kunming.Yanping.Ma,China.Kunming.Yonggang.Li,China.Kunming.Zhigang.Zhao,China.Kunming.Junqiang.Guo,China.Kunming.Zongyong.Ai,China.Kunming.Yuyu.Niu,China.Kunming.Kui.Duan,China.Kunming.Jingjing.He,China.Kunming.Shuchao.Ren,China.Kunming.Dan.Wu,China.Kunming.Yun.Bai,China.Shenzhen.Zhouchun.Shang,China.Shenzhen.Xi.Dai,China.Kunming.Weizhi.Ji,China.Kunming.Tianqing.Li"
44,2020,01,Nature,HBO1 is required for the maintenance of leukaemia stem cells,"Australia.Victoria.Laura.MacPherson,Australia.Victoria.Juliana.Anokye,Australia.Victoria.Miriam M.Yeung,Australia.Victoria.Enid Y N.Lam,Australia.Victoria.Yih-Chih.Chan,Australia.Victoria.Chen-Fang.Weng,Australia.Victoria.Paul.Yeh,Australia.Victoria.Kathy.Knezevic,Australia.Victoria.Miriam S.Butler,Denmark.Copenhagen.Annabelle.Hoegl,Australia.Victoria.Kah-Lok.Chan,Australia.Victoria.Marian L.Burr,Australia.Victoria.Linden J.Gearing,Australia.Victoria.Tracy.Willson,Australia.Victoria.Joy.Liu,Australia.Victoria.Jarny.Choi,Australia.Victoria.Yuqing.Yang,Australia.Victoria.Rebecca A.Bilardi,Australia.Victoria.Hendrik.Falk,Australia.Victoria.Nghi.Nguyen,Australia.Victoria.Paul A.Stupple,Australia.Victoria.Thomas S.Peat,Australia.Victoria.Ming.Zhang,Australia.Victoria.Melanie.de Silva,Australia.Victoria.Catalina.Carrasco-Pozo,Australia.Victoria.Vicky M.Avery,Australia.Victoria.Poh Sim.Khoo,Australia.Victoria.Olan.Dolezal,Australia.Victoria.Matthew L.Dennis,Australia.Victoria.Stewart.Nuttall,Australia.Victoria.Regina.Surjadi,Australia.Victoria.Janet.Newman,Australia.Victoria.Bin.Ren,Australia.Victoria.David J.Leaver,Australia.Victoria.Yuxin.Sun,Australia.Victoria.Jonathan B.Baell,UK.Cambridge.Oliver.Dovey,UK.Cambridge.George S.Vassiliou,Austria.Vienna.Florian.Grebien,Australia.Victoria.Sarah-Jane.Dawson,Australia.Victoria.Ian P.Street,Australia.Victoria.Brendon J.Monahan,Australia.Victoria.Christopher J.Burns,Denmark.Copenhagen.Chunaram.Choudhary,Australia.Victoria.Marnie E.Blewitt,Australia.Victoria.Anne K.Voss,Australia.Victoria.Tim.Thomas,Australia.Victoria.Mark A.Dawson"
